Timestamp,Position,Nearest distance,Action,d2target, d2building, d2obstacle1, d2obstacle2, d2obstacle3, d2obstacle4, d2obstacle5
1, 12.99 1 -13.615, 1.051795, 0, 11.35914,9.055982,2.712391,2.738453,5.079136,7.259929,9.692444
2, 12.99 1 -13.315, 1.051795, 0, 11.15648,8.933027,2.614286,2.46483,4.833202,6.959935,9.435837
3, 12.99 1 -13.015, 0.9846291, 0, 10.95829,8.818569,2.547924,2.198101,4.593699,6.659941,9.181859
4, 12.99 1 -12.715, 0.6846288, 0, 10.7648,8.712942,2.515818,1.94111,4.361684,6.359948,8.930737
5, 12.77787 1 -12.50287, 0.4724963, 7, 10.4662,8.442702,2.302582,1.902942,4.062644,6.149918,8.636763
6, 12.56573 1 -12.29074, 0.339881, 7, 10.16767,8.174539,2.110552,1.911667,3.763756,5.947608,8.343217
7, 12.3536 1 -12.0786, 0.3885532, 7, 9.869236,7.908662,1.946015,1.966661,3.465061,5.753833,8.050147
8, 12.14147 1 -11.86647, 0.2032652, 7, 9.570898,7.645313,1.816458,2.064228,3.166613,5.569484,7.757607
9, 11.92934 1 -11.65434, 0.806915, 7, 9.272667,7.384759,1.729759,2.198709,2.868489,5.395526,7.465659
10, 11.92934 1 -11.35434, 0.09375048, 0, 9.088221,7.314318,1.909422,2.141724,2.639479,5.101199,7.211379
11, 11.92934 1 -11.05434, 0.3937507, 0, 8.910059,7.255607,2.116534,2.125945,2.425998,4.807572,6.960741
12, 11.92934 1 -10.75434, 0.2785698, 0, 8.738566,7.208912,2.34383,2.152278,2.232507,4.514784,6.714152
13, 11.92934 1 -10.45434, 0.2743378, 0, 8.574143,7.174469,2.585994,2.219225,2.064632,4.223009,6.472076
14, 11.92934 1 -10.15434, 0.2743378, 0, 8.417205,7.152453,2.839223,2.323278,1.929073,3.932471,6.235038
15, 11.92934 1 -9.854337, 0.2743378, 0, 8.268176,7.142981,3.100809,2.459732,1.833015,3.643466,6.003634
16, 11.92934 1 -9.554337, 0.2743378, 0, 8.127492,7.146101,3.368804,2.623536,1.782853,3.356393,5.778543
17, 11.92934 1 -9.254336, 0.2743378, 0, 7.995594,7.161798,3.641794,2.809911,1.782466,3.071791,5.56053
18, 11.92934 1 -8.954336, 0.2743378, 0, 7.872923,7.189988,3.918736,3.014674,1.831885,2.790416,5.35046
19, 11.92934 1 -8.654336, 0.2743378, 0, 7.759917,7.230526,4.198847,3.234335,1.927284,2.513354,5.149306
20, 11.92934 1 -8.354336, 0.2743378, 0, 7.657004,7.283206,4.481534,3.466062,2.062291,2.242203,4.958153
21, 11.92934 1 -8.054336, 0.2785698, 0, 7.564596,7.347767,4.766337,3.707593,2.229723,1.979394,4.778202
22, 11.71721 1 -7.842204, 0.2364414, 7, 7.301421,7.195895,4.910995,4.003359,2.209029,1.928188,4.482652
23, 11.50507 1 -7.630072, 0.1543918, 7, 7.041191,7.053518,5.069296,4.299712,2.228891,1.922972,4.187735
24, 11.29294 1 -7.41794, 0.2353134, 7, 6.784246,6.921224,5.240006,4.596538,2.288253,1.964111,3.893595
25, 11.08081 1 -7.205808, 0.4474459, 7, 6.530974,6.799599,5.421952,4.893751,2.384166,2.048816,3.600422
