,Position,Action,d2target, d2building, d2obstacle1, d2obstacle2, d2obstacle3, d2obstacle4, d2obstacle5
0, 12.99 1 -13.615,0,11.35914,9.055982,2.712391,2.738453,5.079136,7.259929,9.692444
1, 12.99 1 -13.315,0,11.15648,8.933027,2.614286,2.46483,4.833202,6.959935,9.435837
2, 12.99 1 -13.015,0,10.95829,8.818569,2.547924,2.198101,4.593699,6.659941,9.181859
3, 12.77787 1 -12.80287,7,10.65913,8.544224,2.310234,2.134865,4.295995,6.449813,8.88903
4, 12.56573 1 -12.59074,7,10.36002,8.271659,2.088647,2.112736,3.998635,6.247028,8.596696
5, 12.3536 1 -12.3786,7,10.06096,8.001058,1.888838,2.132992,3.701701,6.052325,8.304908
6, 12.14147 1 -12.16647,7,9.761966,7.732626,1.718423,2.194461,3.405305,5.866508,8.013726
7, 11.92934 1 -11.95434,7,9.463032,7.466598,1.586897,2.293832,3.1096,5.690446,7.72322
8, 11.71721 1 -11.74221,7,9.164166,7.20324,1.504497,2.426452,2.814804,5.525075,7.433468
9, 11.50507 1 -11.53007,7,8.865378,6.942856,1.479453,2.587214,2.521237,5.371381,7.144562
10, 11.29294 1 -11.31794,7,8.566676,6.685794,1.514612,2.771224,2.229383,5.230393,6.856609
11, 11.08081 1 -11.10581,7,8.268066,6.432451,1.606026,2.974171,1.940016,5.103165,6.569735
12, 10.78081 1 -11.10581,6,8.038435,6.139218,1.51891,3.274168,1.815758,5.220214,6.436191
13, 10.48081 1 -11.10581,6,7.813575,5.846671,1.48824,3.574166,1.73502,5.35154,6.314087
14, 10.18081 1 -11.10581,6,7.59391,5.554919,1.517442,3.874164,1.703998,5.496119,6.204099
15, 9.880807 1 -11.10581,6,7.379904,5.264095,1.603246,4.174162,1.725378,5.652934,6.106881
16, 9.580807 1 -11.10581,6,7.172063,4.974361,1.737288,4.474161,1.797288,5.820997,6.02305
17, 9.280807 1 -11.10581,6,6.97094,4.685919,1.909435,4.77416,1.914043,5.999362,5.953174
18, 8.980806 1 -11.10581,6,6.777132,4.399023,2.110382,5.074159,2.068062,6.187139,5.897748
19, 8.680806 1 -11.10581,6,6.591285,4.113997,2.332699,5.374158,2.25171,6.383497,5.857182
20, 8.680806 1 -10.80581,0,6.35512,4.027242,2.534645,5.381761,2.034191,6.163496,5.559103
21, 8.680806 1 -10.50581,0,6.124546,3.961361,2.754518,5.406027,1.840019,5.950489,5.261242
22, 8.680806 1 -10.20581,0,5.900218,3.917407,2.988363,5.446733,1.677322,5.745255,4.963639
23, 8.680806 1 -9.905807,0,5.682877,3.896124,3.233149,5.503516,1.556003,5.548658,4.666343
24, 8.680806 1 -9.605807,0,5.473354,3.897882,3.486574,5.575882,1.486231,5.361646,4.369417
25, 8.680806 1 -9.305807,0,5.272582,3.922651,3.746884,5.663236,1.475337,5.185256,4.072942
26, 8.680806 1 -9.005807,0,5.081597,3.969999,4.01274,5.764895,1.524585,5.02061,3.777023
27, 8.680806 1 -8.705807,0,4.901546,4.039133,4.283109,5.880119,1.628526,4.868898,3.481803
28, 8.680806 1 -8.405807,0,4.733674,4.128958,4.557189,6.008126,1.777592,4.731365,3.187475
29, 8.680806 1 -8.105806,0,4.579321,4.23816,4.834347,6.148118,1.961523,4.60928,2.894313
30, 8.680806 1 -7.805806,0,4.439898,4.365284,5.114084,6.299296,2.171477,4.503899,2.602709
31, 8.680806 1 -7.505806,0,4.316852,4.508814,5.395999,6.460876,2.400635,4.416418,2.313254
32, 8.380806 1 -7.505806,6,4.041129,4.252409,5.503142,6.712481,2.595452,4.706707,2.248175
33, 8.380806 1 -7.205806,0,3.928516,4.420032,5.781653,6.87744,2.822075,4.642492,1.952265
34, 8.380806 1 -6.905806,0,3.836112,4.601129,6.062216,7.051309,3.061347,4.596997,1.657827
35, 8.080806 1 -6.905806,6,3.548418,4.370807,6.172377,7.294892,3.244251,4.894969,1.622201
36, 7.780806 1 -6.905806,6,3.262942,4.149401,6.294919,7.542542,3.443615,5.193175,1.641549
37, 7.480805 1 -6.905806,6,2.980319,3.938413,6.429135,7.793871,3.656748,5.491577,1.71401
38, 7.180805 1 -6.905806,6,2.701448,3.739608,6.57431,8.048534,3.881382,5.790143,1.833297
39, 6.880805 1 -6.905806,6,2.427619,3.55503,6.729734,8.306227,4.115634,6.088851,1.991011
40, 6.580805 1 -6.905806,6,2.160753,3.387006,6.894715,8.566673,4.357954,6.38768,2.178824
41, 6.280805 1 -6.905806,6,1.903777,3.238114,7.068583,8.829631,4.607069,6.686613,2.389649
42, 5.980804 1 -6.905806,6,1.66129,3.111101,7.2507,9.094881,4.861934,6.985638,2.617933
43, 5.768672 1 -6.693674,7,1.363285,3.237468,7.548746,9.381286,5.153404,7.184016,2.669749
44, 5.55654 1 -6.481542,7,1.066399,3.385772,7.846942,9.668515,5.445801,7.38925,2.753461
45, 5.344409 1 -6.26941,7,0.771924,3.553267,8.14527,9.956498,5.738983,7.600787,2.866275
