Timestamp,Position,Nearest distance,Action,d2target, d2building, d2obstacle1, d2obstacle2, d2obstacle3, d2obstacle4, d2obstacle5
1, 12.69 1 -13.915, 0.8000433, 6, 11.35267,8.920239,2.577187,3.135576,5.177181,7.564077,9.80559
2, 12.39 1 -13.915, 0.5116706, 6, 11.1433,8.65556,2.324682,3.277316,5.036964,7.580112,9.66681
3, 12.09 1 -13.915, 0.2361502, 6, 10.93814,8.393258,2.084802,3.439444,4.91109,7.607951,9.535452
4, 11.79 1 -13.915, 0.1750016, 6, 10.73746,8.133562,1.862433,3.619218,4.800688,7.647467,9.411826
5, 11.49 1 -13.915, 0.1750016, 6, 10.54149,7.87673,1.664605,3.814146,4.706847,7.698479,9.296242
6, 11.19 1 -13.915, 0.1750016, 6, 10.35051,7.623053,1.501055,4.022025,4.630573,7.760761,9.189001
7, 11.19 1 -14.215, 0.4750018, 4, 10.58565,7.789913,1.770802,4.237974,4.923412,8.053278,9.471335
8, 11.19 1 -14.515, 0.6953878, 4, 10.824,7.964582,2.048979,4.463649,5.217065,8.346326,9.754726
9, 10.89 1 -14.515, 0.6953878, 6, 10.64655,7.725453,1.964833,4.66188,5.165808,8.414511,9.6619
10, 10.59 1 -14.515, 0.6953878, 6, 10.47468,7.490706,1.924273,4.870534,5.131605,8.49275,9.577575
11, 10.29 1 -14.515, 0.6953878, 6, 10.30869,7.260767,1.930047,5.088327,5.114799,8.580771,9.501977
12, 9.989998 1 -14.515, 0.6953878, 6, 10.14884,7.036106,1.981751,5.314136,5.115562,8.678276,9.435317
13, 9.689998 1 -14.515, 0.6722862, 6, 9.99545,6.817245,2.075956,5.546982,5.133885,8.784947,9.377784
14, 9.389997 1 -14.515, 0.6953878, 6, 9.848807,6.604763,2.207227,5.786016,5.169582,8.900456,9.329548
15, 9.089997 1 -14.515, 0.6953878, 6, 9.709223,6.399292,2.369411,6.030502,5.222297,9.024465,9.290753
16, 8.789997 1 -14.515, 0.6953878, 6, 9.577004,6.201532,2.556631,6.279803,5.291521,9.156626,9.261518
17, 8.489997 1 -14.515, 0.6953878, 6, 9.45246,6.012242,2.763805,6.533368,5.376616,9.296592,9.241935
18, 8.189997 1 -14.515, 0.6351557, 6, 9.335899,5.832247,2.986784,6.79072,5.476842,9.444016,9.232063
19, 7.889997 1 -14.515, 0.6953878, 6, 9.227622,5.662435,3.222287,7.051443,5.591386,9.598556,9.231936
20, 7.589996 1 -14.515, 0.6953878, 6, 9.127925,5.503746,3.467765,7.315177,5.719388,9.759872,9.24155
21, 7.289996 1 -14.515, 0.6953878, 6, 9.037091,5.357171,3.721243,7.581609,5.859967,9.927635,9.26088
22, 6.989996 1 -14.515, 0.6953878, 6, 8.95539,5.223728,3.981194,7.850463,6.012239,10.10152,9.289862
23, 6.689996 1 -14.515, 0.6953878, 6, 8.883075,5.104448,4.24643,8.121498,6.17534,10.28123,9.328406
24, 6.389996 1 -14.515, 0.6953878, 6, 8.820375,5.000345,4.516019,8.394505,6.348435,10.46644,9.376395
25, 6.089995 1 -14.515, 0.6953878, 6, 8.767498,4.912383,4.789226,8.669295,6.53073,10.65689,9.433685
26, 5.789995 1 -14.515, 0.6953878, 6, 8.724622,4.841442,5.065466,8.945706,6.721476,10.85229,9.500109
27, 5.489995 1 -14.515, 0.6953878, 6, 8.691895,4.788279,5.344268,9.223591,6.919974,11.05237,9.575474
28, 5.189995 1 -14.515, 0.6953878, 6, 8.669431,4.753491,5.625252,9.502821,7.125577,11.2569,9.659572
29, 4.889995 1 -14.515, 0.6255063, 6, 8.657311,4.737482,5.908106,9.78328,7.337687,11.46563,9.752177
30, 4.589994 1 -14.515, 0.6953878, 6, 8.655579,4.740442,6.192575,10.06487,7.555757,11.67833,9.85305
31, 4.289994 1 -14.515, 0.6953878, 6, 8.664239,4.762337,6.478445,10.34749,7.779284,11.8948,9.961939
32, 3.989994 1 -14.515, 0.6953878, 6, 8.683262,4.802906,6.765538,10.63106,8.007813,12.11483,10.07858
33, 3.689994 1 -14.515, 0.6953878, 6, 8.71258,4.861683,7.053705,10.91551,8.240927,12.33823,10.20272
34, 3.477862 1 -14.30287, 0.9075202, 7, 8.529438,4.709757,7.20481,11.05367,8.281041,12.36068,10.1051
35, 3.26573 1 -14.09074, 1.119653, 7, 8.353057,4.57249,7.36504,11.19817,8.331771,12.39036,10.01552
36, 3.053598 1 -13.8786, 1.331785, 7, 8.183876,4.451237,7.533813,11.34876,8.392924,12.42721,9.934195
37, 2.753598 1 -13.8786, 1.331785, 6, 8.249101,4.576396,7.829587,11.63981,8.648169,12.66729,10.088
38, 2.453598 1 -13.8786, 1.331785, 6, 8.324633,4.71734,8.125671,11.9313,8.906204,12.90987,10.24828
39, 2.153599 1 -13.8786, 1.331785, 6, 8.410193,4.872699,8.422031,12.2232,9.166794,13.15483,10.41473
40, 1.853599 1 -13.8786, 1.331785, 6, 8.50548,5.04114,8.718641,12.51549,9.429727,13.40202,10.58707
41, 1.553599 1 -13.8786, 1.331785, 6, 8.61017,5.221397,9.015476,12.80813,9.694813,13.65133,10.76502
