,Position,Action,d2target, d2building, d2obstacle1, d2obstacle2, d2obstacle3, d2obstacle4, d2obstacle5
0, 12.69 1 -13.915,6,11.35267,8.920239,2.577187,3.135576,5.177181,7.564077,9.80559
1, 12.39 1 -13.915,6,11.1433,8.65556,2.324682,3.277316,5.036964,7.580112,9.66681
2, 12.17787 1 -14.12713,5,11.15409,8.575421,2.289761,3.568591,5.140683,7.80966,9.76482
3, 11.96573 1 -14.33927,5,11.17292,8.505115,2.293875,3.861201,5.25949,8.043848,9.870979
4, 11.7536 1 -14.5514,5,11.19977,8.444885,2.336818,4.154866,5.392388,8.282282,9.985025
5, 11.4536 1 -14.5514,6,11.01303,8.199145,2.187421,4.328247,5.311072,8.330718,9.877256
6, 11.1536 1 -14.5514,6,10.83137,7.957128,2.070967,4.514923,5.245677,8.389608,9.777509
7, 10.8536 1 -14.5514,6,10.65506,7.719182,1.993238,4.713315,5.196804,8.458735,9.686028
8, 10.5536 1 -14.5514,6,10.48438,7.485697,1.958849,4.922006,5.164921,8.537848,9.603052
9, 10.2536 1 -14.5514,6,10.3196,7.257103,1.970072,5.139742,5.150344,8.626675,9.528802
10, 9.953601 1 -14.5514,6,10.161,7.033878,2.026149,5.365423,5.153221,8.724917,9.463485
11, 9.653601 1 -14.5514,6,10.00888,6.816549,2.123528,5.598086,5.173522,8.832262,9.407285
12, 9.353601 1 -14.5514,6,9.863548,6.605697,2.256871,5.836898,5.211043,8.948381,9.360368
13, 9.0536 1 -14.5514,6,9.725298,6.401962,2.42024,6.081134,5.265416,9.072937,9.322872
14, 8.7536 1 -14.5514,6,9.594439,6.206047,2.607999,6.330166,5.336127,9.205588,9.294914
15, 8.4536 1 -14.5514,6,9.471277,6.018713,2.815271,6.58345,5.422535,9.34599,9.276578
16, 8.1536 1 -14.5514,6,9.356117,5.840788,3.038066,6.840513,5.523906,9.493797,9.267921
17, 7.8536 1 -14.5514,6,9.249258,5.673156,3.273216,7.100946,5.639431,9.648671,9.268971
18, 7.553599 1 -14.5514,6,9.15099,5.516755,3.518244,7.36439,5.76826,9.810277,9.279725
19, 7.253599 1 -14.5514,6,9.061592,5.372568,3.771225,7.630534,5.909523,9.978287,9.300149
20, 6.953599 1 -14.5514,6,8.98133,5.241601,4.030662,7.899106,6.062351,10.15238,9.330179
21, 6.653599 1 -14.5514,6,8.910451,5.124868,4.295384,8.169864,6.225893,10.33226,9.369723
22, 6.353599 1 -14.5514,6,8.849179,5.023362,4.564474,8.442599,6.399327,10.51761,9.418662
23, 6.053598 1 -14.5514,6,8.797716,4.938022,4.837202,8.717127,6.581872,10.70817,9.476849
24, 5.753598 1 -14.5514,6,8.756235,4.869698,5.112985,8.993281,6.772789,10.90365,9.544115
25, 5.453598 1 -14.5514,6,8.724877,4.819113,5.391356,9.270918,6.971393,11.10379,9.620271
26, 5.153598 1 -14.5514,6,8.703754,4.786831,5.671932,9.549908,7.177044,11.30836,9.705106
27, 4.853598 1 -14.5514,6,8.692938,4.773221,5.954403,9.830135,7.389155,11.5171,9.798395
28, 4.553597 1 -14.5514,6,8.692469,4.778446,6.23851,10.1115,7.607184,11.7298,9.8999
29, 4.253597 1 -14.5514,6,8.702348,4.802441,6.524041,10.3939,7.830638,11.94625,10.00937
30, 3.953597 1 -14.5514,6,8.72254,4.844929,6.810815,10.67727,8.059066,12.16625,10.12655
31, 3.653597 1 -14.5514,6,8.752974,4.905429,7.098683,10.96151,8.292055,12.3896,10.25117
32, 3.353597 1 -14.5514,6,8.793542,4.983285,7.387516,11.24658,8.529233,12.61614,10.38296
33, 3.053597 1 -14.5514,6,8.844107,5.077699,7.677206,11.53241,8.770261,12.84568,10.52166
34, 2.753597 1 -14.5514,6,8.904497,5.187767,7.967659,11.81894,9.014828,13.07808,10.667
35, 2.453598 1 -14.5514,6,8.974514,5.312515,8.258794,12.10612,9.262653,13.31319,10.8187
36, 2.153598 1 -14.5514,6,9.053935,5.450937,8.550542,12.3939,9.513485,13.55085,10.97651
37, 1.853598 1 -14.5514,6,9.142515,5.602018,8.842843,12.68226,9.767089,13.79095,11.14016
38, 1.553598 1 -14.5514,6,9.239991,5.764764,9.135643,12.97114,10.02326,14.03335,11.30941
39, 1.341466 1 -14.33927,7,9.116503,5.715707,9.30083,13.12161,10.10046,14.08476,11.26105
40, 1.129334 1 -14.12713,7,9.001325,5.682086,9.472641,13.27716,10.18593,14.14234,11.22051
41, 0.9172017 1 -13.915,7,8.894775,5.664178,9.650721,13.4376,10.27944,14.20603,11.18787
42, 0.7050697 1 -13.70287,7,8.797174,5.66213,9.834729,13.60277,10.38078,14.27574,11.16319
43, 0.4929376 1 -13.49074,7,8.708816,5.67596,10.02434,13.77249,10.48972,14.35139,11.14654
44, 0.2808056 1 -13.2786,7,8.629987,5.705552,10.21924,13.9466,10.60604,14.43287,11.13795
45, 0.06867355 1 -13.06647,7,8.560951,5.750663,10.41913,14.12494,10.72948,14.5201,11.13744
46, 0.06867355 1 -12.76647,0,8.309994,5.58457,10.40985,14.08614,10.63076,14.3839,10.92992
47, 0.06867355 1 -12.46647,0,8.062388,5.429984,10.4092,14.05364,10.53966,14.25271,10.72678
48, 0.06867355 1 -12.16647,0,7.818454,5.287914,10.4172,14.02748,10.45638,14.12668,10.52827
49, 0.06867355 1 -11.86647,0,7.578545,5.159393,10.43382,14.00769,10.38109,14.00594,10.33465
50, 0.06867355 1 -11.56647,0,7.343055,5.045457,10.45902,13.99432,10.31399,13.89063,10.14622
51, 0.06867355 1 -11.26647,0,7.112424,4.947115,10.49274,13.98736,10.25523,13.78088,9.963252
52, 0.06867355 1 -10.96647,0,6.887139,4.865311,10.5349,13.98684,10.20496,13.67684,9.786063
53, 0.06867355 1 -10.66647,0,6.667744,4.800891,10.5854,13.99275,10.16329,13.57863,9.614972
54, 0.06867355 1 -10.36647,0,6.454837,4.754562,10.64412,14.00508,10.13034,13.48638,9.450309
55, 0.06867355 1 -10.06647,0,6.249083,4.726855,10.71092,14.02383,10.10619,13.40022,9.292416
56, 0.06867355 1 -9.766469,0,6.051211,4.7181,10.78565,14.04896,10.09091,13.32025,9.141643
57, 0.06867355 1 -9.466469,0,5.86202,4.728401,10.86816,14.08043,10.08453,13.24659,8.998349
58, 0.06867355 1 -9.166469,0,5.682375,4.757634,10.95826,14.11821,10.08708,13.17936,8.862897
59, 0.06867355 1 -8.866468,0,5.513212,4.805454,11.05577,14.16225,10.09854,13.11864,8.73565
60, 0.06867355 1 -8.566468,0,5.355523,4.871313,11.16049,14.21248,10.11889,13.06453,8.616974
61, 0.06867355 1 -8.266468,0,5.21035,4.954493,11.27223,14.26885,10.14806,13.01711,8.507226
62, 0.06867355 1 -7.966468,0,5.078766,5.054137,11.39077,14.33127,10.186,12.97646,8.406755
63, 0.06867355 1 -7.666468,0,4.961853,5.169295,11.51591,14.39968,10.23259,12.94263,8.3159
64, 0.06867355 1 -7.366467,0,4.860669,5.298954,11.64743,14.47398,10.28772,12.91569,8.234977
65, 0.06867355 1 -7.066467,0,4.776214,5.442079,11.78513,14.55409,10.35126,12.89567,8.164282
66, 0.06867355 1 -6.766467,0,4.709389,5.597636,11.92878,14.63991,10.42305,12.8826,8.104082
67, 0.2808056 1 -6.554335,1,4.46353,5.540738,11.85084,14.50236,10.27471,12.66547,7.858563
68, 0.4929376 1 -6.342203,1,4.224672,5.499639,11.78002,14.36975,10.13309,12.45178,7.616947
69, 0.7050697 1 -6.130071,1,3.994072,5.474693,11.71646,14.24223,9.998459,12.24171,7.379617
70, 1.00507 1 -6.130071,2,3.694814,5.254831,11.46744,13.96141,9.715473,11.94176,7.081677
71, 1.30507 1 -6.130071,2,3.395687,5.043237,11.22091,13.68142,9.433539,11.64182,6.783919
72, 1.60507 1 -6.130071,2,3.09673,4.840994,10.97705,13.40228,9.152754,11.34188,6.486369
73, 1.90507 1 -6.130071,2,2.797995,4.649324,10.73604,13.12407,8.873226,11.04194,6.189054
74, 2.20507 1 -6.130071,2,2.499563,4.469586,10.49806,12.84684,8.595079,10.742,5.892012
75, 2.505069 1 -6.130071,2,2.201559,4.303277,10.26334,12.57066,8.318451,10.44207,5.595285
76, 2.717201 1 -5.917939,1,1.973649,4.380424,10.23652,12.4626,8.211581,10.23685,5.356469
77, 3.017201 1 -5.917939,2,1.673802,4.246925,10.01101,12.19032,7.940943,9.937135,5.0587
78, 3.317201 1 -5.917939,2,1.374021,4.130937,9.789504,11.91936,7.67249,9.637434,4.761211
79, 3.617201 1 -5.917939,2,1.074362,4.033969,9.572275,11.64983,7.406458,9.337753,4.464059
80, 3.917201 1 -5.917939,2,0.7749677,3.95742,9.359622,11.38182,7.143119,9.038094,4.167316
